企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
東京メトロ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.maihamahotel.jp/,鉄道,大規模,安定志向,フレックス制,運行管理・接客,年功序列,,,,,,,,,,,
東京海上アシスタンス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tokyometro.jp/,保険,大規模,安定志向,フレックス制,保険営業・アシスタント,年功序列,,,,,,,,,,,
東京海上日動火災保険,ESTJ,"ENTP, ISTJ, ENTJ",https://www.tokiomarine-nichido.co.jp/,保険,大規模,安定志向,フレックス制,保険業務・リスクマネジメント,年功序列,,,,,,,,,,,
東京工業大学,INTJ,"ENTP, INTP, INFJ",https://www.tokiomarine-nichido.co.jp/,教育,大規模,学術志向,固定勤務,研究・教育,年功序列,,,,,,,,,,,
東京新聞,INTJ,"ENTP, INTP, INFJ",https://www.titech.ac.jp/,メディア,中規模,独立志向,フレックス制,ライティング・報道,年功序列,,,,,,,,,,,
東京大学,INTJ,"ENTP, INTP, INFJ",https://www.tokyo-np.co.jp/,教育,大規模,学術志向,固定勤務,研究・教育,年功序列,,,,,,,,,,,
東京短資,ISTJ,"ESTJ, ENTJ, ISTP",https://www.u-tokyo.ac.jp/,金融,中規模,安定志向,フレックス制,金融・投資,成果主義,,,,,,,,,,,
東京湾フェリー,ESTP,"ENTP, ESFP, ISTP",https://www.tokyotanshi.co.jp/,運輸,中規模,地域密着,シフト制,運行管理・接客,年功序列,,,,,,,,,,,
東建コーポレーション,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tokyowanferry.com/,建設,大規模,安定志向,フレックス制,建設・プロジェクト管理,年功序列,,,,,,,,,,,
東芝,INTJ,"ENTP, INTP, INFJ",https://www.token.co.jp/,IT・電機,大規模,技術志向,フレックス制,エンジニアリング・研究開発,年功序列,,,,,,,,,,,
東芝テック,ISTJ,"ESTJ, ENTJ, ISTP",https://www.global.toshiba/,IT・電機,大規模,技術志向,フレックス制,エンジニアリング・製品開発,年功序列,,,,,,,,,,,
東芝デバイス＆ストレージ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toshibatec.co.jp/,IT・電機,大規模,技術志向,フレックス制,ハードウェア開発・ストレージ,年功序列,,,,,,,,,,,
東芝ライフスタイル,ISTJ,"ESTJ, ENTJ, ISTP",https://toshiba.semicon-storage.com/,IT・電機,大規模,技術志向,フレックス制,家庭用製品開発,年功序列,,,,,,,,,,,
東武ストア,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.toshiba-lifestyle.com/,小売,大規模,サービス志向,シフト制,接客・販売,年功序列,,,,,,,,,,,
東宝,ENFP,"INFJ, ENTP, ENTJ",https://www.tobu-store.co.jp/,メディア,大規模,創造性重視,フレックス制,映画制作・演出,成果主義,,,,,,,,,,,
東北大学,INTJ,"ENTP, INTP, INFJ",https://www.toho.co.jp/,教育,大規模,学術志向,固定勤務,研究・教育,年功序列,,,,,,,,,,,
東洋エンジニアリング,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tohoku.ac.jp/,エンジニアリング,中規模,技術志向,フレックス制,エンジニアリング・プロジェクト管理,年功序列,,,,,,,,,,,
東洋経済新報社,INTJ,"ENTP, INTP, INFJ",https://www.toyo-eng.com/,メディア,中規模,専門性重視,固定勤務,ライティング・ジャーナリズム,年功序列,,,,,,,,,,,
東洋紡,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toyokeizai.net/,化学,大規模,技術志向,フレックス制,化学技術・研究開発,成果主義,,,,,,,,,,,
東和銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toyobo.co.jp/,銀行,中規模,安定志向,フレックス制,金融業務・営業,年功序列,,,,,,,,,,,
読売広告社,ENFP,"INFJ, ENTP, ENTJ",https://www.towabank.co.jp/,広告,大規模,創造性重視,フレックス制,広告・マーケティング,成果主義,,,,,,,,,,,
読売新聞社,INTJ,"ENTP, INTP, INFJ",https://www.yomiko.co.jp/,メディア,大規模,独立志向,固定勤務,ジャーナリズム・ライティング,年功序列,,,,,,,,,,,
栃木銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.yomiuri.co.jp/,銀行,中規模,安定志向,固定勤務,金融業務・営業,年功序列,,,,,,,,,,,
南海電鉄,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tochigibank.co.jp/,運輸,中規模,地域密着,シフト制,運行管理・接客,年功序列,,,,,,,,,,,
日揮ホールディングス,INTJ,"ENTP, INTP, INFJ",https://www.nankai.co.jp/,エンジニアリング,大規模,技術志向,フレックス制,エンジニアリング・プロジェクト管理,年功序列,,,,,,,,,,,
日経BP,INTJ,"ENTP, INTP, INFJ",https://www.jgc.com/,出版,大規模,専門性重視,フレックス制,ライティング・編集,成果主義,,,,,,,,,,,
日産化学,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nikkeibp.co.jp/,化学,大規模,研究開発志向,フレックス制,化学技術・研究開発,年功序列,,,,,,,,,,,
日産自動車,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nissanchem.co.jp/,自動車,大規模,技術志向,フレックス制,自動車技術・開発,年功序列,,,,,,,,,,,
日産自動車部品販売,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nissan-global.com/,自動車,中規模,技術志向,シフト制,部品管理・販売,年功序列,,,,,,,,,,,
日産車体,ISTP,"ESTP, ISTJ, ESTJ",https://www.nissan.co.jp/SERVICE/PARTS/,自動車,中規模,技術志向,シフト制,自動車製造・開発,年功序列,,,,,,,,,,,
日商岩井,ENTJ,"ESTJ, ENTP, INTJ",https://www.nissan-shatai.co.jp/,商社,大規模,グローバル志向,フレックス制,貿易・サプライチェーン管理,年功序列,,,,,,,,,,,
日新電機,ISTJ,"ESTJ, ENTJ, ISTP",https://www.itochu.co.jp/,電機,中規模,技術志向,フレックス制,エンジニアリング・開発,成果主義,,,,,,,,,,,
日神不動産,ESTJ,"ENTP, ISTJ, ENTJ",https://nissin.jp/,不動産,中規模,地域密着,固定勤務,不動産管理・営業,年功序列,,,,,,,,,,,
日清オイリオグループ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.nisshinfudosan.co.jp/,食品,大規模,安定志向,フレックス制,製造・販売,年功序列,,,,,,,,,,,
日清食品,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nisshin-oillio.com/,食品,大規模,安定志向,フレックス制,製造・販売,年功序列,,,,,,,,,,,
日清製粉グループ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.nissin.com/jp/,食品,大規模,安定志向,フレックス制,製造・販売,年功序列,,,,,,,,,,,
日通商事,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nisshin.com/,商社,大規模,グローバル志向,フレックス制,貿易・物流,年功序列,,,,,,,,,,,
日鉄エンジニアリング,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nittsushoji.co.jp/,鉄鋼,大規模,技術志向,フレックス制,鉄鋼技術・エンジニアリング,年功序列,,,,,,,,,,,
日鉄物産,ISTJ,"ESTJ, ENTJ, ISTP",https://www.eng.nipponsteel.com/,鉄鋼,大規模,技術志向,フレックス制,鉄鋼製造・開発,年功序列,,,,,,,,,,,
日鉄物産エンジニアリング,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nst.nipponsteel.com/,鉄鋼,中規模,技術志向,フレックス制,エンジニアリング・鉄鋼技術,年功序列,,,,,,,,,,,
日本テレビ,ENFJ,"ENFP, INFJ, ENTJ",https://www.nst.nipponsteel.com/business/engineering/,メディア,大規模,独立志向,固定勤務,テレビ制作・編集,年功序列,,,,,,,,,,,
日本テレビ放送網,ENFJ,"ENFP, INFJ, ENTJ",https://www.ntv.co.jp/,メディア,大規模,独立志向,固定勤務,テレビ制作・編集,年功序列,,,,,,,,,,,
日本マクドナルド,ESFP,"ENFP, ISFP, ESTP",https://www.ntv.co.jp/,飲食,大規模,フランチャイズ志向,シフト制,接客・マーケティング,成果主義,,,,,,,,,,,
日本貨物鉄道（JR貨物）,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mcdonalds.co.jp/,運輸,大規模,安定志向,シフト制,物流管理・運行管理,年功序列,,,,,,,,,,,
日本経済研究センター,INTJ,"ENTP, INTP, INFJ",https://www.jrfreight.co.jp/,シンクタンク,中規模,調査分析志向,フレックス制,経済学・データ分析,成果主義,,,,,,,,,,,
日本経済新聞社,INTJ,"ENTP, INTP, INFJ",https://www.jcer.or.jp/,メディア,大規模,専門性重視,フレックス制,ライティング・編集,年功序列,,,,,,,,,,,
日本公庫（日本政策金融公庫）,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jfc.go.jp/,金融,大規模,安定志向,固定勤務,融資業務・金融知識,年功序列,,,,,,,,,,,
日本政策投資銀行,INTJ,"ENTP, INTP, INFJ",https://www.dbj.jp/,金融,大規模,安定志向,固定勤務,投資業務・金融知識,年功序列,,,,,,,,,,,
日本総合研究所,INTJ,"ENTP, INTP, INFJ",https://www.jri.co.jp/,シンクタンク,中規模,調査分析志向,フレックス制,経済学・データ分析,成果主義,,,,,,,,,,,
日本通運,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nittsu.co.jp/,物流,大規模,安定志向,シフト制,物流管理・運行管理,年功序列,,,,,,,,,,,
日本電子,INTJ,"ENTP, INTP, INFJ",https://www.jeol.co.jp/,電子機器,中規模,技術志向,フレックス制,エンジニアリング・製品開発,成果主義,,,,,,,,,,,
日本電信電話,ISTJ,"ESTJ, ENTJ, ISTP",https://group.ntt/,通信,大規模,技術志向,フレックス制,通信技術・インフラ構築,年功序列,,,,,,,,,,,
日本冶金工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nyk.co.jp/,鉄鋼,中規模,技術志向,フレックス制,鉄鋼技術・開発,成果主義,,,,,,,,,,,
日本郵政銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jp-bank.japanpost.jp/,銀行,大規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
日本郵船,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nyk.com/,運輸,大規模,安定志向,シフト制,物流・海運管理,年功序列,,,,,,,,,,,
日本旅行,ESFP,"ENFP, ISFP, ESTP",https://www.nta.co.jp/,旅行,中規模,サービス重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
日野自動車,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hino.co.jp/,自動車,大規模,技術志向,フレックス制,自動車開発・製造,年功序列,,,,,,,,,,,
日立アプライアンス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hitachi-ap.com/,電機,中規模,技術志向,フレックス制,エンジニアリング・製品開発,年功序列,,,,,,,,,,,
日立リアルエステートパートナーズ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hitachi-rep.co.jp/,不動産,中規模,安定志向,固定勤務,不動産管理・営業,年功序列,,,,,,,,,,,
日立金属,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hitachi-metals.co.jp/,金属,大規模,技術志向,フレックス制,金属技術・開発,年功序列,,,,,,,,,,,
日立製作所 ,INTJ,"ENTP, INTP, INFJ", https://www.hitachi.com, IT・製造 , 大規模 , 技術志向・安定志向 , フレックス制 , システム開発・製造技術 , 年功序列＋成果評価 ,,,,,,,,,,,
日立物流 ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hitachi-transportation.com, 物流 , 大規模 , 安定志向・グローバル志向 , フレックス制 , ロジスティクス・管理能力 , 年功序列 ,,,,,,,,,,,
任天堂 ,ENFP,"INFJ, ENTP, ENTJ", https://www.nintendo.co.jp, エンターテインメント , 大規模 , 創造性重視 , フレックス制 , ゲーム開発・クリエイティブ , 実力主義 ,,,,,,,,,,,
博報堂DYホールディングス ,ENFJ,"ENFP, INFJ, ENTJ",https://www.hakuhodody-holdings.co.jp, 広告 , 大規模 , 創造性重視 , フレックス制 , マーケティング・広告運営 , 実力主義 ,,,,,,,,,,,
白泉社 ,INFP,"INFJ, ENFP, INTP",https://www.hakusensha.co.jp, 出版 , 中規模 , クリエイティブ志向 , 固定勤務 , 編集・ライティング , 年功序列 ,,,,,,,,,,,
富士ゼロックス ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.fujixerox.co.jp, IT・オフィス機器 , 大規模 , 技術志向・安定志向 , フレックス制 , 印刷・IT技術 , 年功序列 ,,,,,,,,,,,
富士フイルムテクノサービス ,INTJ,"ENTP, INTP, INFJ",https://www.fujifilm.co.jp, IT・医療 , 大規模 , 安定志向 , フレックス制 , 画像処理・医療技術 , 年功序列 ,,,,,,,,,,,
富士フイルムビジネスイノベーション ,INTJ,"ENTP, INTP, INFJ",https://www.fujifilm.com, IT・オフィス機器 , 大規模 , 技術志向・革新志向 , フレックス制 , IT技術・ビジネス開発 , 年功序列＋成果評価 ,,,,,,,,,,,
富士フイルムメディカル ,INTJ,"ENTP, INTP, INFJ",https://www.fujifilm.co.jp, 医療 , 大規模 , 安定志向 , フレックス制 , 医療機器・技術開発 , 年功序列 ,,,,,,,,,,,
富士通 ,INTJ,"ENTP, INTP, INFJ",https://www.fujitsu.com, IT , 大規模 , 安定志向・グローバル志向 , フレックス制 , システム開発・ITインフラ , 年功序列＋成果評価 ,,,,,,,,,,,
富士通フロンテック ,ISTP,"ESTP, ISTJ, ESTJ",https://www.fujitsu.com/jp/group/ft/, IT , 中規模 , 安定志向・技術志向 , フレックス制 , システム開発・技術管理 , 年功序列 ,,,,,,,,,,,
富士電機 ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.fujielectric.co.jp/, 製造 , 大規模 , 技術志向・安定志向 , フレックス制 , 製造技術・エンジニアリング , 年功序列＋成果評価 ,,,,,,,,,,,
扶桑社 ,INFP,"INFJ, ENFP, INTP",https://www.fusosha.co.jp/, 出版 , 中規模 , クリエイティブ志向 , 固定勤務 , 編集・ライティング , 年功序列 ,,,,,,,,,,,
武蔵精密工業 ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.musashi.co.jp/, 製造 , 大規模 , 安定志向 , シフト制 , 精密機器製造・エンジニアリング , 年功序列 ,,,,,,,,,,,
福山通運 ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.fukutsu.co.jp/, 物流 , 大規模 , 安定志向・地域密着 , 固定勤務 , 物流管理・運転技術 , 年功序列 ,,,,,,,,,,,
文化放送 ,ENFP,"INFJ, ENTP, ENTJ",https://www.joqr.co.jp/, メディア , 大規模 , 創造性重視 , 固定勤務 , 放送・メディア関連 , 年功序列 ,,,,,,,,,,,
文藝春秋 ,INTJ,"ENTP, INTP, INFJ",https://www.bunshun.co.jp/, 出版 , 中規模 , クリエイティブ志向 , 固定勤務 , 編集・ライティング , 年功序列 ,,,,,,,,,,,
弁護士法人アディーレ法律事務所 ,INTJ,"ENTP, INTP, INFJ",https://www.adire.jp/, 法律 , 中規模 , クライアント重視 , フレックス制 , 法律知識・交渉力 , 実力主義 ,,,,,,,,,,,
弁護士法人ベリーベスト法律事務所 ,INTJ,"ENTP, INTP, INFJ",https://www.veritas-law.jp/, 法律 , 大規模 , クライアント重視 , フレックス制 , 法律知識・交渉力 , 実力主義 ,,,,,,,,,,,
豊田自動織機 ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toyota-industries.com/, 製造 , 大規模 , 技術志向・安定志向 , フレックス制 , 製造技術・自動車関連 , 年功序列 ,,,,,,,,,,,
豊田通商 ,ENTJ,"ESTJ, ENTP, INTJ",https://www.toyota-tsusho.com/, 商社 , 大規模 , グローバル志向 , フレックス制 , 貿易・ロジスティクス , 年功序列 ,,,,,,,,,,,
豊田通商エネルギーソリューションズ ,ENTJ,"ESTJ, ENTP, INTJ",https://www.toyota-tsusho.com/energy/, エネルギー , 中規模 , 安定志向・グローバル志向 , フレックス制 , エネルギー・物流管理 , 年功序列 ,,,,,,,,,,,
豊田通商エレクトロニクス ,ENTJ,"ESTJ, ENTP, INTJ",https://www.toyota-tsusho.com/electronics/, IT・エレクトロニクス , 中規模 , 技術志向・革新志向 , フレックス制 , エレクトロニクス・製造技術 , 年功序列＋成果評価 ,,,,,,,,,,,
豊田通商オートモーティブ ,ENTJ,"ESTJ, ENTP, INTJ",https://www.toyota-tsusho.com/automotive/, 自動車 , 大規模 , 安定志向・グローバル志向 , フレックス制 , 自動車関連技術・営業 , 年功序列 ,,,,,,,,,,,
豊田通商ケミカル ,ENTJ,"ESTJ, ENTP, INTJ",https://www.toyota-tsusho.com/chemicals/, 化学 , 大規模 , 安定志向・グローバル志向 , フレックス制 , 化学技術・営業 , 年功序列 ,,,,,,,,,,,
北海道新聞社 ,INTJ,"ENTP, INTP, INFJ",https://www.hokkaido-np.co.jp/, メディア , 大規模 , 地域密着・安定志向 , 固定勤務 , 編集・ライティング , 年功序列 ,,,,,,,,,,,
北海道大学 ,INTP,"INTJ, ENTP, INFP",https://www.hokudai.ac.jp/, 教育・研究 , 大規模 , 学術志向・国際志向 , 固定勤務 , 研究・教育 , 年功序列 ,,,,,,,,,,,
北海道旅客鉄道（JR北海道） ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jrhokkaido.co.jp/, 交通 , 大規模 , 地域密着・安定志向 , 固定勤務 , 交通管理・鉄道技術 , 年功序列 ,,,,,,,,,,,
北陸銀行 ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hokurikubank.co.jp/, 金融 , 中規模 , 安定志向・地域密着 , 固定勤務 , 金融知識・営業 , 年功序列 ,,,,,,,,,,,
毎日新聞社 ,INTJ,"ENTP, INTP, INFJ",https://mainichi.jp/, メディア , 大規模 , クリエイティブ志向 , 固定勤務 , 編集・ライティング , 年功序列 ,,,,,,,,,,,
毎日放送（MBS） ,ENFP,"INFJ, ENTP, ENTJ",https://www.mbs.jp/, メディア , 大規模 , 地域密着・創造性重視 , 固定勤務 , 放送・メディア関連 , 年功序列 ,,,,,,,,,,,
味の素 ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.ajinomoto.com/, 食品 , 大規模 , 安定志向・グローバル志向 , フレックス制 , 食品製造・品質管理 , 年功序列 ,,,,,,,,,,,
無印良品 ,INFP,"INFJ, ENFP, INTP",https://www.muji.com/jp/, 小売 , 大規模 , シンプル志向・安定志向 , フレックス制 , 商品開発・接客 , 年功序列 ,,,,,,,,,,,
名古屋大学 ,INTJ,"ENTP, INTP, INFJ",https://www.nagoya-u.ac.jp/, 教育・研究 , 大規模 , 学術志向・国際志向 , 固定勤務 , 研究・教育 , 年功序列 ,,,,,,,,,,,
名鉄運輸 ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.meitetsu-unyu.co.jp/, 物流 , 中規模 , 地域密着・安定志向 , 固定勤務 , 運転・物流管理 , 年功序列 ,,,,,,,,,,,
明治 ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.meiji.co.jp/, 食品 , 大規模 , 安定志向・グローバル志向 , フレックス制 , 食品製造・品質管理 , 年功序列 ,,,,,,,,,,,
明治安田生命 ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.meijiyasuda.co.jp/, 保険 , 大規模 , 安定志向・地域密着 , 固定勤務 , 保険知識・営業 , 年功序列 ,,,,,,,,,,,
明治安田生命保険 ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.meijiyasuda.co.jp/, 保険 , 大規模 , 安定志向・チームワーク重視 , 固定勤務 , 保険知識・営業 , 年功序列 ,,,,,,,,,,,
野村ホールディングス ,ENTJ,"ESTJ, ENTP, INTJ",https://www.nomuraholdings.com/, 金融 , 大規模 , グローバル志向・安定志向 , フレックス制 , 金融知識・営業 , 年功序列＋実力評価 ,,,,,,,,,,,
